Site,PlotType,PlotID,Species,Grid_X,Grid_Y,Forest_status,Grazing_status
1,3,3,Erica tetralix,212468,820198,Unforested,Ungrazed
1,3,3,Molinia caerulea,212468,820198,Unforested,Ungrazed
1,3,3,Scirpus cespitosus,212468,820198,Unforested,Ungrazed
1,3,3,Potentilla erecta,212468,820198,Unforested,Ungrazed
1,3,3,Narthecium ossifragum,212468,820198,Unforested,Ungrazed
1,3,3,Pleurozia purpurea,212468,820198,Unforested,Ungrazed
1,3,3,Sphagnum sp.,212468,820198,Unforested,Ungrazed
1,3,3,Racomitrium sp.,212468,820198,Unforested,Ungrazed
1,3,3,Lichen,212468,820198,Unforested,Ungrazed
1,3,3,Litter ,212468,820198,Unforested,Ungrazed
1,3,3,Calluna vulgaris,212468,820198,Unforested,Ungrazed
1,3,3,Erica tetralix,212468,820198,Unforested,Ungrazed
1,3,3,Sphagnum sp.,212468,820198,Unforested,Ungrazed
1,3,3,Molinia caerulea,212468,820198,Unforested,Ungrazed
1,3,3,Narthecium ossifragum,212468,820198,Unforested,Ungrazed
1,3,3,Scirpus cespitosus,212468,820198,Unforested,Ungrazed
1,3,3,Potentilla erecta,212468,820198,Unforested,Ungrazed
1,3,3,Lichen,212468,820198,Unforested,Ungrazed
