SampleID,Name,Site,PlotType,PlotID,Forest_status,Grazing_status,QuadratID,Species,DOMIN,Grid_X,Grid_Y,PlotID
77,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Sphagnum sp.,7,209650,820408,
71,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Blechnum spicant,NA,209650,820408,
67,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Hylocomium splendens,9,209745,820894,
86,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Litter,9,209745,820894,
89,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Molinia caerulea,6,209745,820894,
84,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Vaccinium myrtillus,1,209745,820894,
78,Athnamulloch 2,2,1,,Reforestation,Ungrazed,2,Hylocomium splendens,8,209745,820894,
85,Athnamulloch 2,2,1,,Reforestation,Ungrazed,2,Litter,9,209745,820894,
87,Athnamulloch 2,2,1,,Reforestation,Ungrazed,2,Molinia caerulea,5,209745,820894,
82,Athnamulloch 2,2,1,,Reforestation,Ungrazed,2,Potentilla erecta,1,209745,820894,
90,Athnamulloch 2,2,1,,Reforestation,Ungrazed,2,Rhytidiadelphus sp.,3,209745,820894,
88,Athnamulloch 2,2,1,,Reforestation,Ungrazed,2,Vaccinium myrtillus,3,209745,820894,
81,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Hylocomium splendens,9,209745,820894,
83,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Litter,9,209745,820894,
91,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Molinia caerulea,10,209745,820894,
79,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Potentilla erecta,4,209745,820894,
80,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Anemone nemorosa,NA,209745,820894,
98,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Blechnum spicant,NA,209745,820894,
92,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Calluna vulgaris,NA,209745,820894,
96,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Carex nigra,NA,209745,820894,
93,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Dryopteris filix-mas,NA,209745,820894,
97,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Erica tetralix,NA,209745,820894,
101,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Myrica gale,NA,209745,820894,
99,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Sphagnum sp.,NA,209745,820894,
104,Athnamulloch 2,2,1,,Reforestation,Ungrazed,NA,Viola palustris,NA,209745,820894,
103,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Hylocomium splendens,3,208220,819946,
94,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Litter,9,208220,819946,
100,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Molinia caerulea,9,208220,819946,
102,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Potentilla erecta,3,208220,819946,
95,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Rhytidiadelphus sp.,4,208220,819946,
105,Athnamulloch 2,2,1,,Reforestation,Ungrazed,1,Viola palustris,3,208220,819946,
145,Athnamulloch 2,2,2,5,Unforested,Grazed,2,Anthoxanthum odoratum,3,208220,819946,5
149,Athnamulloch 3,2,2,,Unforested,Grazed,2,Dactylorhiza maculata,1,208220,819946,
150,Athnamulloch 4,2,2,,Unforested,Grazed,2,Galium saxatile,3,208220,819946,
151,Athnamulloch 5,2,2,,Unforested,Grazed,2,Hylocomium splendens,4,208220,819946,
153,Athnamulloch 6,2,2,,Unforested,Grazed,2,Litter,9,208220,819946,
152,Athnamulloch 7,2,2,,Unforested,Grazed,2,Liverwort sp.,3,208220,819946,
146,Athnamulloch 8,2,2,,Unforested,Grazed,2,Molinia caerulea,9,208220,819946,
148,Athnamulloch 9,2,2,,Unforested,Grazed,2,Potentilla erecta,3,208220,819946,
147,Athnamulloch 10,2,2,,Unforested,Grazed,2,Rhytidiadelphus sp.,5,208220,819946,
154,Athnamulloch 11,2,2,,Unforested,Grazed,2,Sorbus aucuparia,1,208220,819946,
157,Athnamulloch 12,2,2,,Unforested,Grazed,3,Hylocomium splendens,8,208220,819946,
159,Athnamulloch 13,2,2,,Unforested,Grazed,3,Litter,6,208220,819946,
160,Athnamulloch 14,2,2,,Unforested,Grazed,3,Molinia caerulea,8,208220,819946,
155,Athnamulloch 15,2,2,,Unforested,Grazed,3,Pleurozium schreberi,6,208220,819946,
158,Athnamulloch 16,2,2,,Unforested,Grazed,3,Potentilla erecta,3,208220,819946,
156,Athnamulloch 17,2,2,,Unforested,Grazed,3,Rhytidiadelphus sp.,6,208220,819946,
161,Athnamulloch 18,2,2,,Unforested,Grazed,NA,Agrostis canina,NA,208220,819946,
163,Athnamulloch 19,2,2,,Unforested,Grazed,NA,Blechnum spicant,NA,208220,819946,
