ID,Species,geometryOrig
29,Carabus glabratus,POINT (214876  821044)
29,Carabus problematicus,POINT (214876  821044)
29,Cychrus caraboides,POINT (214876  821044)
29,Pterostichus niger,POINT (214876  821044)
29,Pterostichus rhaeticus,POINT (214876  821044)
29,Agonum fuliginosum,POINT (214876  821044)
29,Carabus glabratus,POINT (214876  821044)
29,Carabus problematicus,POINT (214876  821044)
29,Carabus violaceus,POINT (214876  821044)
29,Cychrus caraboides,POINT (214876  821044)
29,Pterostichus rhaeticus,POINT (214876  821044)
29,Carabus glabratus,POINT (214876  821044)
29,Cychrus caraboides,POINT (214876  821044)
30,Carabus glabratus,POINT (216455  822114)
30,Carabus problematicus,POINT (216455  822114)
30,Carabus violaceus,POINT (216455  822114)
30,Trechus obtusus,POINT (216455  822114)
30,Carabus glabratus,POINT (216455  822114)
30,Calathus micropterus,POINT (216455  822114)
30,Carabus glabratus,POINT (216455  822114)
30,Carabus problematicus,POINT (216455  822114)
30,Carabus violaceus,POINT (216455  822114)
30,Cychrus caraboides,POINT (216455  822114)
31,Carabus glabratus,POINT (216452  822065)
31,Cychrus caraboides,POINT (216452  822065)
31,Carabus glabratus,POINT (216452  822065)
31,Carabus violaceus,POINT (216452  822065)
31,Carabus glabratus,POINT (216452  822065)
31,Carabus problematicus,POINT (216452  822065)
31,Carabus violaceus,POINT (216452  822065)
31,Trechus obtusus,POINT (216452  822065)
32,Carabus glabratus,POINT (235592  817787)
32,Pterostichus diligens,POINT (235592  817787)
32,Carabus glabratus,POINT (235592  817787)
32,Carabus violaceus,POINT (235592  817787)
32,Pterostichus niger,POINT (235592  817787)
32,Calathus micropterus,POINT (235592  817787)
32,Carabus glabratus,POINT (235592  817787)
32,Carabus problematicus,POINT (235592  817787)
32,Carabus violaceus,POINT (235592  817787)
32,Cychrus caraboides,POINT (235592  817787)
33,Carabus glabratus,POINT (235570  817892)
33,Cychrus caraboides,POINT (235570  817892)
33,Pterostichus diligens,POINT (235570  817892)
33,Pterostichus madidus,POINT (235570  817892)
33,Carabus glabratus,POINT (235570  817892)
33,Pterostichus diligens,POINT (235570  817892)
33,Pterostichus niger,POINT (235570  817892)
33,Carabus glabratus,POINT (235570  817892)
33,Carabus violaceus,POINT (235570  817892)
33,Pterostichus niger,POINT (235570  817892)
34,Agonum fuliginosum,POINT (235496  818006)
34,Carabus glabratus,POINT (235496  818006)
34,Pterostichus diligens,POINT (235496  818006)
34,Pterostichus rhaeticus,POINT (235496  818006)
34,Agonum fuliginosum,POINT (235496  818006)
34,Carabus glabratus,POINT (235496  818006)
34,Pterostichus diligens,POINT (235496  818006)
34,Agonum fuliginosum,POINT (235496  818006)
34,Carabus glabratus,POINT (235496  818006)
34,Pterostichus diligens,POINT (235496  818006)
35,Carabus glabratus,POINT (233892  816697)
35,Carabus violaceus,POINT (233892  816697)
35,Harpalus latus,POINT (233892  816697)
35,Pterostichus diligens,POINT (233892  816697)
35,Pterostichus niger,POINT (233892  816697)
35,Carabus glabratus,POINT (233892  816697)
35,Notiophilus germinyi,POINT (233892  816697)
35,Pterostichus diligens,POINT (233892  816697)
35,Pterostichus niger,POINT (233892  816697)
35,Carabus glabratus,POINT (233892  816697)
35,Carabus violaceus,POINT (233892  816697)
35,Pterostichus niger,POINT (233892  816697)
36,Carabus glabratus,POINT (233746  816435)
36,Carabus violaceus,POINT (233746  816435)
36,Cychrus caraboides,POINT (233746  816435)
36,Harpalus latus,POINT (233746  816435)
36,Carabus glabratus,POINT (233746  816435)
36,Pterostichus niger,POINT (233746  816435)
36,Abax parallelepipidus,POINT (233746  816435)
36,Carabus glabratus,POINT (233746  816435)
36,Pterostichus niger,POINT (233746  816435)
37,Carabus violaceus,POINT (233848  816707)
37,Pterostichus diligens,POINT (233848  816707)
37,Pterostichus niger,POINT (233848  816707)
37,Pterostichus diligens,POINT (233848  816707)
37,Carabus glabratus,POINT (233848  816707)
37,Cychrus caraboides,POINT (233848  816707)
37,Pterostichus diligens,POINT (233848  816707)
37,Pterostichus niger,POINT (233848  816707)
38,Carabus glabratus,POINT (228676  816354)
38,Pterostichus niger,POINT (228676  816354)
38,Carabus glabratus,POINT (228676  816354)
